+----------------------------------------------------------------+
|   №  |  Token               |   Info                           |
+----------------------------------------------------------------+
|  109   |std                                |NAMESPACE                                           
|  109   |::                                 |DOUBLE COLON                                        
|  109   |endl                               |KEYWORD                                             
|  109   |;                                  |END OF CONSTRUCTION                                 
|  111   |std                                |NAMESPACE                                           
|  111   |::                                 |DOUBLE COLON                                        
|  111   |cout                               |KEYWORD                                             
|  111   |<<                                 |OPERATOR                                            
|  111   |"Height: "                         |STRING                                              
|  111   |<<                                 |OPERATOR                                            
|  111   |rect                               |OBJECT OF Rectangle                                 
|  111   |.                                  |OPERATOR                                            
|  111   |getHeight                          |FUNCTION CALL                                       
|  111   |(                                  |PARENTHESIS                                         
|  111   |)                                  |PARENTHESIS                                         
|  111   |<<                                 |OPERATOR                                            
|  111   |std                                |NAMESPACE                                           
|  111   |::                                 |DOUBLE COLON                                        
|  111   |endl                               |KEYWORD                                             
|  111   |;                                  |END OF CONSTRUCTION                                 
|  113   |std                                |NAMESPACE                                           
|  113   |::                                 |DOUBLE COLON                                        
|  113   |cout                               |KEYWORD                                             
|  113   |<<                                 |OPERATOR                                            
|  113   |"Area of the rectangle: "            |STRING                                              
|  113   |<<                                 |OPERATOR                                            
|  113   |rect                               |OBJECT OF Rectangle                                 
|  113   |.                                  |OPERATOR                                            
|  113   |area                               |FUNCTION CALL                                       
|  113   |(                                  |PARENTHESIS                                         
|  113   |)                                  |PARENTHESIS                                         
|  113   |<<                                 |OPERATOR                                            
|  113   |std                                |NAMESPACE                                           
|  113   |::                                 |DOUBLE COLON                                        
|  113   |endl                               |KEYWORD                                             
|  113   |;                                  |END OF CONSTRUCTION                                 
|  115   |rect                               |OBJECT OF Rectangle                                 
|  115   |.                                  |OPERATOR                                            
|  115   |setWidth                           |FUNCTION CALL                                       
|  115   |(                                  |PARENTHESIS                                         
|  115   |7                                  |INTEGER                                             
|  115   |)                                  |PARENTHESIS                                         
|  115   |;                                  |END OF CONSTRUCTION                                 
|  117   |rect                               |OBJECT OF Rectangle                                 
|  117   |.                                  |OPERATOR                                            
|  117   |setHeight                          |FUNCTION CALL                                       
|  117   |(                                  |PARENTHESIS                                         
|  117   |4                                  |INTEGER                                             
|  117   |)                                  |PARENTHESIS                                         
|  117   |;                                  |END OF CONSTRUCTION                                 
|  119   |std                                |NAMESPACE                                           
|  119   |::                                 |DOUBLE COLON                                        
|  119   |cout                               |KEYWORD                                             
|  119   |<<                                 |OPERATOR                                            
|  119   |"Updated area of the rectangle: "            |STRING                                              
|  119   |<<                                 |OPERATOR                                            
|  119   |rect                               |OBJECT OF Rectangle                                 
|  119   |.                                  |OPERATOR                                            
